Id,ActivityDay,Calories,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
1644430081,4/14/16,3226,11037,8.02,8.02,0,0.36,2.56,5.1,0,5,58,252,1125
2347167796,4/14/16,2010,10129,6.7,6.7,0,0.02,2.74,3.94,0,1,48,206,705
5577150313,4/15/16,4005,12087,9.08,9.08,0,3.92,1.6,3.56,0,115,54,199,695
2347167796,4/16/16,2670,22244,15.08,15.08,0,5.45,4.1,5.53,0,66,72,268,968
3977333714,4/16/16,1625,13459,9,9,0,2.03,4,2.97,0,31,83,153,663
5577150313,4/16/16,4274,14269,10.66,10.66,0,6.64,1.28,2.73,0,184,56,158,472
3977333714,4/17/16,1529,10415,6.97,6.97,0,0.7,2.35,3.92,0,11,58,205,600
4702921684,4/17/16,3394,12692,10.29,10.29,0,0.96,3.46,5.88,0,12,66,302,437
5577150313,4/17/16,4552,12231,9.14,9.14,0,5.98,0.83,2.32,0,200,37,159,525
1644430081,4/19/16,3300,11256,8.18,8.18,0,0.36,2.53,5.3,0,5,58,278,1099
3977333714,4/19/16,1638,12414,8.78,8.78,0,2.24,2.45,3.96,0,19,67,221,738
7086361926,4/19/16,2944,10688,7.29,7.29,0,3.53,1.23,2.51,0,67,69,124,671
2022484408,4/20/16,2897,15112,10.67,10.67,0,3.34,1.93,5.4,0,48,63,276,1053
2347167796,4/20/16,2198,10999,7.27,7.27,0,0.68,1.81,4.78,0,11,43,269,1011
3977333714,4/20/16,1554,11658,7.83,7.83,0,0.2,4.35,3.28,0,2,98,164,845
6775888955,4/20/16,3727,10771,7.72,7.72,0,3.77,1.74,2.22,0,70,113,178,1079
5577150313,4/21/16,4018,10830,8.09,8.09,0,3.65,1.66,2.78,0,110,74,175,670
7007744171,4/22/16,2889,15299,10.24,10.24,0,4.1,1.76,4.37,0,64,50,261,1065
7086361926,4/22/16,2846,9753,6.53,6.53,0,2.87,0.97,2.67,0,58,59,153,762
8583815059,4/22/16,2944,8687,6.78,6.78,0,0.29,2.41,4.08,0,4,54,212,1170
3977333714,4/23/16,1638,12058,8.07,8.07,0,0,4.22,3.85,0,0,92,252,724
4702921684,4/23/16,3691,15126,12.27,12.27,0,0.76,3.24,8.27,0,9,66,408,469
8583815059,4/23/16,3012,9423,7.35,7.35,0,0.53,2.03,4.75,0,7,44,238,1151
8792009665,4/23/16,2748,5245,3.36,3.36,0,0.16,0.44,2.75,0,8,45,232,795
5577150313,4/24/16,4392,15764,11.78,11.78,0,7.65,2.15,1.98,0,210,65,141,425
8583815059,4/24/16,2889,8286,6.46,6.46,0,0.15,2.05,4.27,0,2,44,206,1188
8253242879,4/25/16,1909,6829,4.51,4.51,0,0.36,2.39,1.77,0,7,54,118,1261
8583815059,4/26/16,3093,10499,8.19,8.19,0,0.07,4.22,3.89,0,1,91,214,1134
4319703577,4/27/16,2324,10780,7.23,7.23,0,0.41,1.92,4.91,0,6,47,300,680
4388161847,4/27/16,3074,11193,8.61,8.61,0,0.7,2.51,5.39,0,11,48,241,684
1644430081,4/28/16,3108,9405,6.84,6.84,0,0.2,2.32,4.31,0,3,53,227,1157
7086361926,4/28/16,2862,11584,7.8,7.8,0,2.79,1.64,3.36,0,54,48,161,810
8583815059,4/29/16,3513,15168,11.83,11.83,0,3.9,3,4.92,0,46,67,258,1069
1644430081,4/30/16,3846,18213,13.24,13.24,0,0.63,3.14,9.46,0,9,71,402,816
3977333714,4/30/16,1650,13238,9.2,9.2,0,3.69,2.1,3.41,0,43,52,194,687
4388161847,4/30/16,3283,12533,9.64,9.64,0,0.7,2,6.94,0,14,43,300,537
5577150313,4/30/16,4501,12363,9.24,9.24,0,5.83,0.79,2.61,0,207,45,163,621
1624580081,5/1/16,2690,36019,28.03,28.03,0,21.92,4.19,1.91,0.02,186,63,171,1020
5577150313,5/1/16,4546,13368,9.99,9.99,0,5.31,1.44,3.24,0,194,72,178,499
3977333714,5/2/16,1760,16520,11.05,11.05,0,1.54,6.48,3.02,0,24,143,176,713
6962181067,5/2/16,2162,12912,8.54,8.54,0,1.2,2,5.34,0,18,39,313,655
1644430081,5/3/16,3324,12850,9.34,9.34,0,0.72,4.09,4.54,0,10,94,221,1115
3977333714,5/4/16,1628,13559,9.44,9.44,0,1.81,4.58,2.89,0,14,96,142,852
3977333714,5/5/16,1618,12312,8.58,8.58,0,1.76,4.11,2.71,0,14,88,178,680
4388161847,5/5/16,2899,9603,7.38,7.38,0,0.63,1.67,5.09,0,12,39,199,896
3977333714,5/6/16,1590,11677,8.28,8.28,0,3.11,2.51,2.67,0,29,55,168,676
4388161847,5/6/16,3425,13175,10.13,10.13,0,2.11,2.09,5.93,0,33,45,262,1100
3977333714,5/7/16,1574,11550,7.73,7.73,0,0,4.13,3.59,0,0,86,208,703
4388161847,5/7/16,4022,22770,17.54,17.54,0,9.45,2.77,5.33,0,120,56,260,508
3977333714,5/8/16,1633,13585,9.09,9.09,0,0.68,5.24,3.17,0,9,116,171,688
4702921684,5/8/16,3287,12857,10.43,10.43,0,0.68,6.21,3.54,0,9,125,192,1019
2022484408,5/9/16,2709,13379,9.39,9.39,0,2.12,1.63,5.64,0,35,47,297,1061
3977333714,5/9/16,1667,14687,10.08,10.08,0,0.77,5.6,3.55,0,8,122,151,1159
7086361926,5/9/16,2960,13566,9.11,9.11,0,4.26,1.71,3.12,0,67,50,171,743
3977333714,5/10/16,1630,13072,8.78,8.78,0,0.07,5.4,3.31,0,1,115,196,676
4702921684,5/10/16,3172,10613,8.61,8.61,0,0.08,1.88,6.65,0,1,37,262,701
5577150313,5/10/16,3841,8869,6.65,6.65,0,2.56,0.75,3.35,0,104,37,194,639
8583815059,5/10/16,2846,8240,6.43,6.43,0,0.69,2.01,3.72,0,9,43,162,1226
8583815059,5/11/16,2804,8701,6.79,6.79,0,0.37,3.24,3.17,0,5,71,177,1106
1624580081,4/12/16,1432,8163,5.31,5.31,0,0,0,5.31,0,0,0,146,1294
1844505072,4/12/16,2030,6697,4.43,4.43,0,0,0,4.43,0,0,0,339,1101
1927972279,4/12/16,2220,678,0.47,0.47,0,0,0,0.47,0,0,0,55,734
3372868164,4/12/16,1788,4747,3.24,3.24,0,0,0,3.23,0.01,0,0,280,1160
4057192912,4/12/16,2286,5394,4.03,4.03,0,0,0,3.94,0,0,0,164,1276
4319703577,4/12/16,2115,7753,5.2,5.2,0,0,0,0,0,0,0,0,1440
4388161847,4/12/16,2955,10122,7.78,7.78,0,0,0,0,0,0,0,0,1440
4445114986,4/12/16,2113,3276,2.2,2.2,0,0,0,2.2,0,0,0,196,787
4558609924,4/12/16,1909,5135,3.39,3.39,0,0,0,3.39,0,0,0,318,1122
4702921684,4/12/16,2947,7213,5.88,5.88,0,0,0,5.85,0,0,0,263,718
6290855005,4/12/16,2560,4562,3.45,3.45,0,0,0,3.45,0,0,0,199,1241
8792009665,4/12/16,2044,2564,1.64,1.64,0,0,0,1.64,0,0,0,116,831
1624580081,4/13/16,1411,7007,4.55,4.55,0,0,0,4.55,0,0,0,148,1292
1844505072,4/13/16,1860,4929,3.26,3.26,0,0,0,3.26,0,0,0,248,1192
1927972279,4/13/16,2151,356,0.25,0.25,0,0,0,0.25,0,0,0,32,986
2026352035,4/13/16,1521,4993,3.1,3.1,0,0,0,3.1,0,0,0,238,663
4057192912,4/13/16,2306,5974,4.47,4.47,0,0,0,4.37,0,0,0,160,1280
4445114986,4/13/16,2095,2961,1.99,1.99,0,0,0,1.99,0,0,0,194,840
4702921684,4/13/16,2898,6877,5.58,5.58,0,0,0,5.58,0,0,0,258,777
5553957443,4/13/16,1718,4832,3.16,3.16,0,0,0,3.16,0,0,0,226,647
6290855005,4/13/16,2905,7142,5.4,5.4,0,0,0,5.39,0.01,0,0,350,1090
8792009665,4/13/16,1934,1320,0.84,0.84,0,0,0,0.84,0,0,0,82,806
1624580081,4/14/16,1572,9107,5.92,5.92,0,0,0,5.91,0.01,0,0,236,1204
1844505072,4/14/16,2130,7937,5.25,5.25,0,0,0,5.23,0,0,0,373,843
2026352035,4/14/16,1431,3335,2.07,2.07,0,0,0,2.05,0,0,0,197,653
2873212765,4/14/16,1893,7910,5.32,5.32,0,0,0,5.32,0,0,0,331,1109
4020332650,4/14/16,2011,108,0.08,0.08,0,0,0,0.03,0,0,0,3,1437
4445114986,4/14/16,2194,3974,2.67,2.67,0,0,0,2.67,0,0,0,231,717
4558609924,4/14/16,1922,6799,4.49,4.49,0,0,0,4.49,0,0,0,279,1161
4702921684,4/14/16,2984,7860,6.37,6.37,0,0,0,6.37,0,0,0,271,772
6290855005,4/14/16,2952,7671,5.8,5.8,0,0,0,5.77,0.03,0,0,363,1077
6962181067,4/14/16,1466,1551,1.03,1.03,0,0,0,1.03,0,0,0,86,862
8583815059,4/14/16,2443,3135,2.45,2.45,0,0,0,2.43,0,0,0,134,1306
8792009665,4/14/16,1963,1219,0.78,0.78,0,0,0,0.78,0,0,0,84,853
1624580081,4/15/16,1344,1510,0.98,0.98,0,0,0,0.97,0,0,0,96,1344
1844505072,4/15/16,1725,3844,2.54,2.54,0,0,0,2.54,0,0,0,176,527
1927972279,4/15/16,2221,980,0.68,0.68,0,0,0,0.68,0,0,0,51,941
2026352035,4/15/16,1444,3821,2.37,2.37,0,0,0,2.37,0,0,0,188,687
2873212765,4/15/16,2063,8482,5.7,5.7,0,0,0,5.69,0.01,0,0,448,992
3372868164,4/15/16,1908,7451,5.08,5.08,0,0,0,5.06,0.02,0,0,335,1105
4319703577,4/15/16,1985,5664,3.8,3.8,0,0,0,3.8,0,0,0,228,752
4388161847,4/15/16,3066,8758,6.73,6.73,0,0,0,6.73,0,0,0,299,837
4445114986,4/15/16,2496,7198,4.83,4.83,0,0,0,4.83,0,0,0,350,711
6290855005,4/15/16,2896,9501,7.18,7.18,0,0,0,7.17,0.01,0,0,328,1112
6775888955,4/15/16,2127,1282,0.92,0.92,0,0,0,0.92,0,0,0,58,976
6962181067,4/15/16,1756,5563,3.68,3.68,0,0,0,3.68,0,0,0,217,837
7007744171,4/15/16,2098,5273,3.53,3.53,0,0,0,3.53,0,0,0,202,1238
8253242879,4/15/16,1632,2672,1.77,1.77,0,0,0,1.76,0,0,0,105,1335
8792009665,4/15/16,2009,2483,1.59,1.59,0,0,0,1.59,0,0,0,126,937
1624580081,4/16/16,1463,5370,3.49,3.49,0,0,0,3.49,0,0,0,176,1264
1844505072,4/16/16,1657,3414,2.26,2.26,0,0,0,2.26,0,0,0,147,1293
2026352035,4/16/16,1373,2547,1.58,1.58,0,0,0,1.58,0,0,0,150,728
2320127002,4/16/16,1724,5057,3.41,3.41,0,0,0,3.4,0,0,0,195,1245
3372868164,4/16/16,1908,6905,4.73,4.73,0,0,0,4.7,0.03,0,0,356,1084
4319703577,4/16/16,1884,4744,3.18,3.18,0,0,0,3.18,0,0,0,194,724
4445114986,4/16/16,2180,3945,2.65,2.65,0,0,0,2.65,0,0,0,225,716
5553957443,4/16/16,1831,5771,3.77,3.77,0,0,0,3.77,0,0,0,288,521
6290855005,4/16/16,2783,8301,6.28,6.28,0,0,0,6.27,0.01,0,0,258,1182
7007744171,4/16/16,2076,4631,3.1,3.1,0,0,0,3.1,0,0,0,203,1155
8583815059,4/16/16,2693,5319,4.15,4.15,0,0,0,0,0,0,0,0,1440
8792009665,4/16/16,1721,244,0.16,0.16,0,0,0,0.16,0,0,0,12,1428
2026352035,4/17/16,1214,838,0.52,0.52,0,0,0,0.52,0,0,0,60,1053
2320127002,4/17/16,1852,6198,4.18,4.18,0,0,0,4.18,0,0,0,249,1191
4319703577,4/17/16,1464,29,0.02,0.02,0,0,0,0.02,0,0,0,3,1363
4388161847,4/17/16,2572,4660,3.58,3.58,0,0,0,3.58,0,0,0,201,721
4445114986,4/17/16,1933,2268,1.52,1.52,0,0,0,1.52,0,0,0,114,1219
5553957443,4/17/16,1397,655,0.43,0.43,0,0,0,0.43,0,0,0,46,943
6117666160,4/17/16,2225,7150,5.4,5.4,0,0,0,5.4,0,0,0,312,702
7007744171,4/17/16,2383,8059,5.39,5.39,0,0,0,5.39,0,0,0,305,1135
8378563200,4/17/16,2572,2132,1.69,1.69,0,0,0,1.69,0,0,0,93,599
8583815059,4/17/16,2439,3008,2.35,2.35,0,0,0,0,0,0,0,0,1440
1927972279,4/18/16,2111,244,0.17,0.17,0,0,0,0.17,0,0,0,17,1423
2026352035,4/18/16,1419,3325,2.06,2.06,0,0,0,2.06,0,0,0,182,1062
4020332650,4/18/16,1995,62,0.04,0.04,0,0,0,0.04,0,0,0,2,1438
5553957443,4/18/16,1683,3727,2.43,2.43,0,0,0,2.43,0,0,0,206,622
6290855005,4/18/16,2766,6885,5.21,5.21,0,0,0,5.19,0.02,0,0,271,1169
1624580081,4/19/16,1435,2916,1.9,1.9,0,0,0,1.9,0,0,0,141,1299
1844505072,4/19/16,1366,197,0.13,0.13,0,0,0,0.13,0,0,0,10,1430
2026352035,4/19/16,1356,2424,1.5,1.5,0,0,0,1.5,0,0,0,141,785
2873212765,4/19/16,1956,7948,5.37,5.37,0,0,0,5.36,0,0,0,389,1051
3372868164,4/19/16,1985,7711,5.26,5.26,0,0,0,5.24,0.02,0,0,376,1064
4319703577,4/19/16,2200,8925,5.99,5.99,0,0,0,5.99,0,0,0,311,604
4445114986,4/19/16,1954,2064,1.39,1.39,0,0,0,1.39,0,0,0,121,895
6117666160,4/19/16,2606,11135,8.41,8.41,0,0,0,8.41,0,0,0,480,425
6290855005,4/19/16,2839,7142,5.4,5.4,0,0,0,5.39,0.01,0,0,321,1119
8253242879,4/19/16,1763,4212,2.78,2.78,0,0,0,2.78,0,0,0,164,1276
1624580081,4/20/16,1446,4974,3.23,3.23,0,0,0,3.23,0,0,0,151,1289
1644430081,4/20/16,2430,2436,1.77,1.77,0,0,0,1.76,0.01,0,0,125,1315
2026352035,4/20/16,1667,7222,4.48,4.48,0,0,0,4.48,0,0,0,327,623
4445114986,4/20/16,1974,2072,1.39,1.39,0,0,0,1.39,0,0,0,137,841
4558609924,4/20/16,1788,4803,3.17,3.17,0,0,0,3.17,0,0,0,222,1218
5553957443,4/20/16,1570,2713,1.77,1.77,0,0,0,1.77,0,0,0,148,598
6290855005,4/20/16,2701,6361,4.81,4.81,0,0,0,4.8,0.01,0,0,258,1182
1624580081,4/21/16,1467,6349,4.13,4.13,0,0,0,4.11,0.02,0,0,186,1254
1644430081,4/21/16,2140,1223,0.89,0.89,0,0,0,0.88,0.01,0,0,38,1402
2026352035,4/21/16,1370,2467,1.53,1.53,0,0,0,1.53,0,0,0,153,749
3977333714,4/21/16,1397,6093,4.08,4.08,0,0,0,4.06,0,0,0,242,712
4319703577,4/21/16,1792,3702,2.48,2.48,0,0,0,0.35,0,0,0,34,1265
4445114986,4/21/16,2150,3809,2.56,2.56,0,0,0,2.54,0,0,0,215,756
8792009665,4/21/16,1720,144,0.09,0.09,0,0,0,0.09,0,0,0,9,1431
1624580081,4/22/16,1470,4026,2.62,2.62,0,0,0,2.6,0,0,0,199,1241
1644430081,4/22/16,2344,3673,2.67,2.67,0,0,0,2.66,0.01,0,0,86,1354
1844505072,4/22/16,1827,5372,3.55,3.55,0,0,0,3.55,0,0,0,220,1220
1927972279,4/22/16,2093,149,0.1,0.1,0,0,0,0.1,0,0,0,10,1430
2026352035,4/22/16,1399,2915,1.81,1.81,0,0,0,1.81,0,0,0,162,712
2320127002,4/22/16,1851,5583,3.76,3.76,0,0,0,3.76,0,0,0,266,1174
3372868164,4/22/16,1669,3843,2.62,2.62,0,0,0,2.61,0.01,0,0,206,1234
4445114986,4/22/16,2432,6831,4.58,4.58,0,0,0,4.58,0,0,0,317,706
4702921684,4/22/16,2241,1664,1.35,1.35,0,0,0,1.35,0,0,0,72,1341
6117666160,4/22/16,2409,8206,6.2,6.2,0,0,0,6.2,0,0,0,402,413
6290855005,4/22/16,2796,6238,4.72,4.72,0,0,0,4.72,0,0,0,302,1138
6775888955,4/22/16,1922,637,0.46,0.46,0,0,0,0.46,0,0,0,20,1420
8253242879,4/22/16,1651,2824,1.87,1.87,0,0,0,1.87,0,0,0,120,1320
1624580081,4/23/16,1562,8538,5.55,5.55,0,0,0,5.54,0.01,0,0,227,1213
1844505072,4/23/16,1645,3570,2.36,2.36,0,0,0,2.36,0,0,0,139,1301
1927972279,4/23/16,2499,2945,2.04,2.04,0,0,0,2.04,0,0,0,145,1295
2022484408,4/23/16,2069,6001,4.21,4.21,0,0,0,4.21,0,0,0,249,1191
2026352035,4/23/16,1916,12357,7.71,7.71,0,0,0,7.71,0,0,0,432,458
2320127002,4/23/16,1804,5079,3.42,3.42,0,0,0,3.42,0,0,0,242,1129
4319703577,4/23/16,1945,4935,3.31,3.31,0,0,0,3.31,0,0,0,233,546
4445114986,4/23/16,2149,4363,2.93,2.93,0,0,0,2.93,0,0,0,201,1239
5553957443,4/23/16,1776,4112,2.69,2.69,0,0,0,2.68,0,0,0,272,443
6117666160,4/23/16,2651,11495,8.68,8.68,0,0,0,8.68,0,0,0,512,468
7086361926,4/23/16,1965,2817,1.81,1.81,0,0,0,1.8,0,0,0,90,1350
1644430081,4/24/16,2413,3321,2.41,2.41,0,0,0,2.41,0,0,0,89,1351
2026352035,4/24/16,1401,3490,2.16,2.16,0,0,0,2.16,0,0,0,164,704
2320127002,4/24/16,1725,4165,2.81,2.81,0,0,0,2.8,0,0,0,204,1236
2347167796,4/24/16,2187,9471,6.26,6.26,0,0,0,6.26,0,0,0,360,584
4445114986,4/24/16,2247,5002,3.36,3.36,0,0,0,3.36,0,0,0,244,1196
4558609924,4/24/16,2173,8563,5.66,5.66,0,0,0,5.65,0,0,0,395,1045
5553957443,4/24/16,1507,1807,1.18,1.18,0,0,0,1.18,0,0,0,104,582
6117666160,4/24/16,2305,7623,5.76,5.76,0,0,0,5.76,0,0,0,362,711
6290855005,4/24/16,2703,5896,4.46,4.46,0,0,0,4.46,0,0,0,258,1182
6962181067,4/24/16,1705,5029,3.32,3.32,0,0,0,3.32,0,0,0,199,720
7007744171,4/24/16,2667,11085,7.42,7.42,0,0,0,7.42,0,0,0,419,1021
7086361926,4/24/16,2049,3520,2.16,2.16,0,0,0,2.15,0,0,0,125,566
8378563200,4/24/16,2741,3703,2.94,2.94,0,0,0,2.94,0,0,0,135,734
1624580081,4/25/16,1492,6497,4.22,4.22,0,0,0,4.2,0.02,0,0,202,1238
1927972279,4/25/16,2100,152,0.11,0.11,0,0,0,0.11,0,0,0,12,1303
2026352035,4/25/16,1576,6017,3.73,3.73,0,0,0,3.73,0,0,0,260,821
3372868164,4/25/16,2010,5995,4.09,4.09,0,0,0,4.09,0,0,0,416,1024
4445114986,4/25/16,2070,3385,2.27,2.27,0,0,0,2.27,0,0,0,179,916
1624580081,4/26/16,1402,2826,1.84,1.84,0,0,0,1.83,0.01,0,0,140,1300
2026352035,4/26/16,1595,5933,3.68,3.68,0,0,0,3.68,0,0,0,288,1018
2320127002,4/26/16,1632,3409,2.3,2.3,0,0,0,2.3,0,0,0,147,1293
2347167796,4/26/16,1861,5980,3.95,3.95,0,0,0,3.95,0,0,0,227,732
8792009665,4/26/16,1928,1321,0.85,0.85,0,0,0,0.85,0,0,0,80,1360
1644430081,4/27/16,2489,3032,2.2,2.2,0,0,0,2.2,0,0,0,118,1322
2026352035,4/27/16,1593,6088,3.77,3.77,0,0,0,3.77,0,0,0,286,586
2320127002,4/27/16,1481,1715,1.16,1.16,0,0,0,1.16,0,0,0,82,1358
2873212765,4/27/16,1966,3516,2.36,2.36,0,0,0,2.36,0,46,0,197,1197
6117666160,4/27/16,2576,9411,7.11,7.11,0,0,0,7.11,0,0,0,458,417
6290855005,4/27/16,2743,5565,4.21,4.21,0,0,0,4.18,0.03,0,0,287,1153
8792009665,4/27/16,2067,1758,1.13,1.13,0,0,0,1.13,0,0,0,112,900
1844505072,4/28/16,1992,6907,4.57,4.57,0,0,0,4.56,0,0,0,302,1138
1927972279,4/28/16,2351,1675,1.16,1.16,0,0,0,1.16,0,0,0,95,1167
2026352035,4/28/16,1649,6375,3.95,3.95,0,0,0,3.95,0,0,0,331,626
2320127002,4/28/16,1473,1532,1.03,1.03,0,0,0,1.03,0,0,0,76,1364
2347167796,4/28/16,1854,5439,3.6,3.6,0,0,0,3.6,0,0,0,229,764
3372868164,4/28/16,1972,5512,3.76,3.76,0,0,0,3.76,0,0,0,385,1055
4445114986,4/28/16,2203,4493,3.01,3.01,0,0,0,3.01,0,0,0,236,762
8792009665,4/28/16,2780,6157,3.94,3.94,0,0,0,3.94,0,0,0,310,714
1624580081,4/29/16,1404,2390,1.55,1.55,0,0,0,1.55,0,0,0,150,1290
1644430081,4/29/16,2498,3176,2.31,2.31,0,0,0,2.31,0,0,0,120,1193
1844505072,4/29/16,1856,4920,3.25,3.25,0,0,0,3.25,0,0,0,247,1082
2026352035,4/29/16,1692,7604,4.71,4.71,0,0,0,4.71,0,0,0,352,492
2320127002,4/29/16,1410,924,0.62,0.62,0,0,0,0.62,0,0,0,45,1395
2347167796,4/29/16,403,42,0.03,0.03,0,0,0,0.03,0,0,0,4,2
3372868164,4/29/16,2044,9135,6.23,6.23,0,0,0,6.22,0.01,0,0,402,1038
4445114986,4/29/16,2196,4676,3.14,3.14,0,0,0,3.13,0,0,0,226,1106
6117666160,4/29/16,2560,9592,7.24,7.24,0,0,0,7.24,0,0,0,461,479
1844505072,4/30/16,1763,4014,2.67,2.67,0,0,0,2.65,0,0,0,184,218
2026352035,4/30/16,1506,4729,2.93,2.93,0,0,0,2.93,0,0,0,233,594
2320127002,4/30/16,1779,4571,3.08,3.08,0,0,0,3.07,0,0,0,234,1206
4445114986,4/30/16,2363,6222,4.18,4.18,0,0,0,4.18,0,0,0,290,797
5553957443,4/30/16,1463,1202,0.78,0.78,0,0,0,0.78,0,0,0,84,506
6117666160,4/30/16,2275,6987,5.28,5.28,0,0,0,5.28,0,0,0,343,1040
6290855005,4/30/16,2843,6744,5.1,5.1,0,0,0,5.09,0.01,0,0,324,1116
7007744171,4/30/16,2051,3761,2.52,2.52,0,0,0,2.52,0,0,0,200,1240
8378563200,4/30/16,2660,2946,2.34,2.34,0,0,0,2.34,0,0,0,121,780
2026352035,5/1/16,1447,3609,2.28,2.28,0,0,0,2.28,0,0,0,191,716
2320127002,5/1/16,1403,772,0.52,0.52,0,0,0,0.52,0,0,0,40,1400
3372868164,5/1/16,1237,3077,2.1,2.1,0,0,0,2.09,0,0,0,172,842
4319703577,5/1/16,1593,1251,0.84,0.84,0,0,0,0.84,0,0,0,67,836
4558609924,5/1/16,1692,3428,2.27,2.27,0,0,0,2.27,0,0,0,190,1121
5553957443,5/1/16,1747,5164,3.37,3.37,0,0,0,3.37,0,0,0,237,436
6117666160,5/1/16,2361,8915,6.73,6.73,0,0,0,6.73,0,0,0,397,525
6962181067,5/1/16,1740,5454,3.61,3.61,0,0,0,3.61,0,0,0,215,722
7007744171,5/1/16,2225,5600,3.75,3.75,0,0,0,3.75,0,0,0,237,1142
8053475328,5/1/16,1886,1170,0.85,0.85,0,0,0,0.85,0,0,0,51,1389
8792009665,5/1/16,1962,1619,1.04,1.04,0,0,0,1.04,0,0,0,79,834
2026352035,5/2/16,1690,7018,4.35,4.35,0,0,0,4.35,0,0,0,355,716
4558609924,5/2/16,2066,7891,5.22,5.22,0,0,0,5.22,0,0,0,383,1057
