ActivityDate,Calories_Per_day,Total_steps_Per_Day,Distance_traveled_Per_Day,Distance_tracked_Per_Day
4/12/16,2391,8237,5.98,5.96
4/13/16,2287,7199,5.1,5.07
4/14/16,2356,7744,5.6,5.58
4/15/16,2355,7534,5.29,5.29
4/16/16,2393,8679,6.29,6.29
4/17/16,2231,6409,4.54,4.54
4/18/16,2333,7897,5.66,5.62
4/19/16,2359,8049,5.87,5.84
4/20/16,2395,8163,5.95,5.92
4/21/16,2422,8244,6.03,5.97
4/22/16,2328,7446,5.33,5.33
4/23/16,2397,8348,5.84,5.84
4/24/16,2291,7394,5.47,5.47
4/25/16,2350,7933,5.63,5.59
4/26/16,2331,7834,5.53,5.53
4/27/16,2329,8079,5.92,5.88
4/28/16,2316,7594,5.36,5.36
4/29/16,2273,7322,5.18,5.15
4/30/16,2374,8346,6.1,6.1
5/1/16,2230,6896,4.97,4.97
5/2/16,2275,7049,4.97,4.95
5/3/16,2454,8559,6.09,6.05
5/4/16,2283,6764,4.94,4.94
5/5/16,2415,8731,6.22,6.18
5/6/16,2375,7493,5.46,5.46
5/7/16,2246,7151,5.12,5.12
5/8/16,2303,7049,5.14,5.14
5/9/16,2336,8249,5.96,5.96
5/10/16,2229,7951,5.67,5.67
5/11/16,2190,7519,5.49,5.49
5/12/16,1139,3482,2.44,2.44