Id,Calories_Per_day,Total_steps_Per_Day,Distance_traveled_Per_Day,Distance_tracked_Per_Day
1503960366,1816,12117,7.81,7.81
1624580081,1483,5744,3.91,3.91
1644430081,2811,7283,5.3,5.3
1844505072,1573,2580,1.71,1.71
1927972279,2173,916,0.63,0.63
2022484408,2510,11371,8.08,8.08
2026352035,1541,5567,3.45,3.45
2320127002,1724,4717,3.19,3.19
2347167796,2043,9520,6.36,6.36
2873212765,1917,7556,5.1,5.1
3372868164,1933,6862,4.71,4.71
3977333714,1514,10985,7.52,7.52
4020332650,2386,2267,1.63,1.63
4057192912,1974,3838,2.86,2.86
4319703577,2038,7269,4.89,4.89
4388161847,3094,10814,8.39,8.39
4445114986,2186,4797,3.25,3.25
4558609924,2033,7685,5.08,5.08
4702921684,2966,8572,6.96,6.96
5553957443,1876,8613,5.64,5.64
5577150313,3360,8304,6.21,6.21
6117666160,2261,7047,5.34,5.34
6290855005,2600,5650,4.27,4.27
6775888955,2132,2520,1.81,1.81
6962181067,1982,9795,6.59,6.52
7007744171,2544,11323,8.02,7.58
7086361926,2566,9372,6.39,6.39
8053475328,2946,14763,11.48,11.48
8253242879,1788,6482,4.67,4.67
8378563200,3437,8718,6.91,6.91
8583815059,2732,7199,5.62,5.62
8792009665,1962,1854,1.19,1.19
8877689391,3420,16040,13.21,13.21